[2017-04-15 20:38:20,997] Making new env: Pong-v0
200 2 50 0.1 0.01
iter 220, mean_pop -0.84, cur_reward -1.00, aver_reward -0.39
iter 221, mean_pop -0.72, cur_reward -1.00, aver_reward -0.45
iter 222, mean_pop -0.68, cur_reward -1.00, aver_reward -0.51
iter 223, mean_pop -0.60, cur_reward -1.00, aver_reward -0.56
iter 224, mean_pop -0.76, cur_reward -1.00, aver_reward -0.60
iter 225, mean_pop -0.80, cur_reward 1.00, aver_reward -0.44
iter 226, mean_pop -0.76, cur_reward -1.00, aver_reward -0.50
iter 227, mean_pop -0.84, cur_reward -1.00, aver_reward -0.55
iter 228, mean_pop -0.76, cur_reward -1.00, aver_reward -0.59
iter 229, mean_pop -0.76, cur_reward 1.00, aver_reward -0.43
iter 230, mean_pop -0.64, cur_reward -1.00, aver_reward -0.49
iter 231, mean_pop -0.88, cur_reward -1.00, aver_reward -0.54
iter 232, mean_pop -0.80, cur_reward 1.00, aver_reward -0.39
iter 233, mean_pop -0.80, cur_reward -1.00, aver_reward -0.45
iter 234, mean_pop -0.80, cur_reward -1.00, aver_reward -0.50
iter 235, mean_pop -0.64, cur_reward -1.00, aver_reward -0.55
iter 236, mean_pop -0.72, cur_reward -1.00, aver_reward -0.60
iter 237, mean_pop -0.76, cur_reward 1.00, aver_reward -0.44
iter 238, mean_pop -0.56, cur_reward -1.00, aver_reward -0.49
iter 239, mean_pop -0.64, cur_reward -1.00, aver_reward -0.54
iter 240, mean_pop -0.68, cur_reward -1.00, aver_reward -0.59
iter 241, mean_pop -0.72, cur_reward -1.00, aver_reward -0.63
iter 242, mean_pop -0.72, cur_reward -1.00, aver_reward -0.67
iter 243, mean_pop -0.80, cur_reward 1.00, aver_reward -0.50
iter 244, mean_pop -0.76, cur_reward -1.00, aver_reward -0.55
iter 245, mean_pop -0.76, cur_reward 1.00, aver_reward -0.40
iter 246, mean_pop -0.76, cur_reward -1.00, aver_reward -0.46
iter 247, mean_pop -0.64, cur_reward -1.00, aver_reward -0.51
iter 248, mean_pop -0.68, cur_reward -1.00, aver_reward -0.56
iter 249, mean_pop -0.52, cur_reward -1.00, aver_reward -0.60
iter 250, mean_pop -0.68, cur_reward 1.00, aver_reward -0.44
iter 251, mean_pop -0.72, cur_reward -1.00, aver_reward -0.50
iter 252, mean_pop -0.76, cur_reward 1.00, aver_reward -0.35
iter 253, mean_pop -0.68, cur_reward 1.00, aver_reward -0.21
iter 254, mean_pop -0.72, cur_reward -1.00, aver_reward -0.29
iter 255, mean_pop -0.64, cur_reward 1.00, aver_reward -0.16
iter 256, mean_pop -0.64, cur_reward -1.00, aver_reward -0.25
iter 257, mean_pop -0.68, cur_reward -1.00, aver_reward -0.32
iter 258, mean_pop -0.60, cur_reward -1.00, aver_reward -0.39
iter 259, mean_pop -0.64, cur_reward 1.00, aver_reward -0.25
iter 260, mean_pop -0.64, cur_reward -1.00, aver_reward -0.33
iter 261, mean_pop -0.68, cur_reward 1.00, aver_reward -0.19
iter 262, mean_pop -0.64, cur_reward -1.00, aver_reward -0.27
iter 263, mean_pop -0.80, cur_reward -1.00, aver_reward -0.35
iter 264, mean_pop -0.68, cur_reward -1.00, aver_reward -0.41
iter 265, mean_pop -0.64, cur_reward -1.00, aver_reward -0.47
iter 266, mean_pop -0.72, cur_reward -1.00, aver_reward -0.52
iter 267, mean_pop -0.84, cur_reward -1.00, aver_reward -0.57
iter 268, mean_pop -0.64, cur_reward -1.00, aver_reward -0.61
iter 269, mean_pop -0.76, cur_reward -1.00, aver_reward -0.65
iter 270, mean_pop -0.72, cur_reward -1.00, aver_reward -0.69
iter 271, mean_pop -0.76, cur_reward -1.00, aver_reward -0.72
iter 272, mean_pop -0.60, cur_reward -1.00, aver_reward -0.75
iter 273, mean_pop -0.52, cur_reward -1.00, aver_reward -0.77
iter 274, mean_pop -0.56, cur_reward -1.00, aver_reward -0.79
iter 275, mean_pop -0.68, cur_reward -1.00, aver_reward -0.82
iter 276, mean_pop -0.68, cur_reward 1.00, aver_reward -0.63
iter 277, mean_pop -0.56, cur_reward 1.00, aver_reward -0.47
iter 278, mean_pop -0.68, cur_reward -1.00, aver_reward -0.52
iter 279, mean_pop -0.72, cur_reward -1.00, aver_reward -0.57
iter 280, mean_pop -0.56, cur_reward -1.00, aver_reward -0.61
iter 281, mean_pop -0.60, cur_reward 1.00, aver_reward -0.45
iter 282, mean_pop -0.56, cur_reward -1.00, aver_reward -0.51
iter 283, mean_pop -0.64, cur_reward 1.00, aver_reward -0.36
iter 284, mean_pop -0.68, cur_reward -1.00, aver_reward -0.42
iter 285, mean_pop -0.84, cur_reward 1.00, aver_reward -0.28
iter 286, mean_pop -0.48, cur_reward -1.00, aver_reward -0.35
iter 287, mean_pop -0.36, cur_reward 1.00, aver_reward -0.22
iter 288, mean_pop -0.68, cur_reward -1.00, aver_reward -0.29
iter 289, mean_pop -0.80, cur_reward -1.00, aver_reward -0.36
iter 290, mean_pop -0.56, cur_reward 1.00, aver_reward -0.23
iter 291, mean_pop -0.76, cur_reward 1.00, aver_reward -0.11
iter 292, mean_pop -0.80, cur_reward -1.00, aver_reward -0.19
iter 293, mean_pop -0.56, cur_reward -1.00, aver_reward -0.28
iter 294, mean_pop -0.60, cur_reward -1.00, aver_reward -0.35
iter 295, mean_pop -0.52, cur_reward -1.00, aver_reward -0.41
iter 296, mean_pop -0.60, cur_reward -1.00, aver_reward -0.47
iter 297, mean_pop -0.64, cur_reward -1.00, aver_reward -0.52
iter 298, mean_pop -0.64, cur_reward 1.00, aver_reward -0.37
iter 299, mean_pop -0.52, cur_reward -1.00, aver_reward -0.43
iter 300, mean_pop -0.64, cur_reward -1.00, aver_reward -0.49
iter 301, mean_pop -0.68, cur_reward -1.00, aver_reward -0.54
iter 302, mean_pop -0.44, cur_reward -1.00, aver_reward -0.59
iter 303, mean_pop -0.80, cur_reward -1.00, aver_reward -0.63
iter 304, mean_pop -0.84, cur_reward -1.00, aver_reward -0.67
iter 305, mean_pop -0.52, cur_reward 1.00, aver_reward -0.50
iter 306, mean_pop -0.52, cur_reward 1.00, aver_reward -0.35
iter 307, mean_pop -0.72, cur_reward 1.00, aver_reward -0.21
iter 308, mean_pop -0.44, cur_reward -1.00, aver_reward -0.29
iter 309, mean_pop -0.64, cur_reward -1.00, aver_reward -0.36
